date,id,title,link,published
2025-09-08,oai:arXiv.org:2503.19065v3,WikiAutoGen: Towards Multi-Modal Wikipedia-Style Article Generation,https://arxiv.org/abs/2503.19065,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2509.04736v1,WatchHAR: Real-time On-device Human Activity Recognition System for Smartwatches,https://arxiv.org/abs/2509.04736,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2509.04582v1,Inpaint4Drag: Repurposing Inpainting Models for Drag-Based Image Editing via Bidirectional Warping,https://arxiv.org/abs/2509.04582,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2507.23567v2,3D-MOOD: Lifting 2D to 3D for Monocular Open-Set Object Detection,https://arxiv.org/abs/2507.23567,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2509.05285v1,Improved 3D Scene Stylization via Text-Guided Generative Image Editing with Region-Based Control,https://arxiv.org/abs/2509.05285,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2505.16422v3,Unlocking Smarter Device Control: Foresighted Planning with a World Model-Driven Code Execution Approach,https://arxiv.org/abs/2505.16422,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2509.04758v1,Dynamic Group Detection using VLM-augmented Temporal Groupness Graph,https://arxiv.org/abs/2509.04758,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2509.04597v1,DisPatch: Disarming Adversarial Patches in Object Detection with Diffusion Models,https://arxiv.org/abs/2509.04597,"Mon, 08 Sep 2025 00:00:00 -0400"
2025-09-08,oai:arXiv.org:2509.01421v2,InfoScale: Unleashing Training-free Variable-scaled Image Generation via Effective Utilization of Information,https://arxiv.org/abs/2509.01421,"Mon, 08 Sep 2025 00:00:00 -0400"
